Stress,Ref
-1.150425968586644282e-01,1.776141566015989812e-02
-1.047935811197783090e-01,1.683078543645550110e-02
-9.439903713813151132e-02,1.599848568375467420e-02
-8.611000998192851197e-02,1.522008833009606127e-02
-7.839024145653264442e-02,1.452545668702490134e-02
-7.223307506184838134e-02,1.389467022885875792e-02
-6.609728916231308316e-02,1.332253407462824848e-02
-6.116439501174354698e-02,1.279347032581442355e-02
-5.627179605170235660e-02,1.228590028273798818e-02
-5.197568715479192886e-02,1.180726597424085027e-02
-4.858646923024032005e-02,1.139314920923963255e-02
-4.486169877486478191e-02,1.098122286408687032e-02
-4.208408518127981779e-02,1.061615936967046439e-02
-3.910843324443539354e-02,1.026393393895250541e-02
-3.690639370270305114e-02,9.950431940801758579e-03
-3.441570083812369590e-02,9.644263904103897792e-03
-3.251409533008008806e-02,9.361587285757685950e-03
-3.046567885829268643e-02,9.087566593261093076e-03
-2.894208637545598456e-02,8.846499887654596384e-03
-2.717461987559204387e-02,8.598500352048822626e-03
1.015323049719410520e+01,9.817472923219980885e-01
2.939351393212057850e+00,7.363104692414974561e-01
1.966022583921721134e+00,4.170821830126126839e-01
6.955041430361334598e+00,2.609031597343884901e-01
8.225508329514077843e+00,1.624182406659810673e-01
4.559365979680521264e+00,1.156743169772694313e-01
2.285911615411591324e-02,8.191060709422080810e-02
-7.808008021612988792e-01,6.663712445372597937e-02
-7.339362224980490179e-01,5.570495076590822187e-02
-6.448678879887782545e-01,4.840214871153217940e-02
-5.318806950627650298e-01,4.233574223064837799e-02
-4.359793935729077696e-01,3.729057564486908810e-02
-3.655715400639353851e-01,3.362423213162332031e-02
-2.980892978014564321e-01,3.014041575762181277e-02
-2.558313530371845168e-01,2.754001701729624080e-02
-2.165077062972494137e-01,2.536201206239323963e-02
-1.873494079717123451e-01,2.351534235203054518e-02
-1.631971613990750580e-01,2.194937125707841635e-02
-1.414088346792013728e-01,2.053023641659491513e-02
-1.259157317607285109e-01,1.928067800431183809e-02
-1.104192544365625445e-01,1.815361826283786242e-02
-9.908757259080999691e-02,1.720936473097390076e-02
-8.782425956805740841e-02,1.631149990056325952e-02
-8.002984149490056931e-02,1.550530669244521050e-02
-7.286978780184200088e-02,1.476944726356562397e-02
-6.592287033032470656e-02,1.413061577986128581e-02
-6.051852423585608182e-02,1.352540566058012608e-02
-5.417948783581447852e-02,1.295679786952699288e-02
-5.038292217105203030e-02,1.242494734146524366e-02
-4.619687092876221396e-02,1.196199539600927529e-02
-4.298529304948112834e-02,1.153052513210215888e-02
-3.966105417529616067e-02,1.113568499668004738e-02
-3.658020309859293800e-02,1.075191344221117229e-02
-3.430879912320931868e-02,1.039369155900010666e-02
-3.188406053239491861e-02,1.007299952543970478e-02
-2.959446091315489843e-02,9.748583324405476341e-03
-2.806076321214365232e-02,9.458277549334072332e-03
-2.609627585029122149e-02,9.183590844024942107e-03
-2.466781669105649194e-02,8.923568643921729951e-03
-2.314669174485188205e-02,8.679817912366518534e-03
6.535369006575980855e+00,9.817472923219949799e-01
2.097615990984562195e+00,1.840776173103743085e+00
1.711723037159786465e+00,8.999350179618301748e-01
1.483295476792411627e+01,3.349918949961366854e-01
1.483275350972919071e+01,1.767464443917615702e-01
8.349903074555966143e+00,1.283896830862230332e-01
-4.555268166482372982e-01,9.217496361905132274e-02
-6.940620263885187713e-01,7.301475644200851323e-02
-5.616168834247828867e-01,5.907541509614493841e-02
-4.394728554097472872e-01,4.982289286837593423e-02
-3.426195457611721507e-01,4.420948485620949248e-02
-2.571966175717587122e-01,3.872349129677951640e-02
-2.009641820650275579e-01,3.435506328969376716e-02
-1.652134223833807425e-01,3.097229980588799003e-02
-1.373174431152613950e-01,2.839274835326012492e-02
-1.185424970725022092e-01,2.613597152511778349e-02
-9.217182097583646871e-02,2.403411948610555127e-02
-8.065917366544025913e-02,2.232609187130872586e-02
-6.787210367200978423e-02,2.089629447503100340e-02
-5.827150280192451570e-02,1.962736631532307000e-02
-5.370061723203493897e-02,1.846950424656974843e-02
-4.477277965230853918e-02,1.748382655408786679e-02
-4.114386765879293750e-02,1.658946322516013927e-02
-3.790385799080767809e-02,1.574419554321383752e-02
-3.270223714119804143e-02,1.501228701380051545e-02
-3.056894523900829941e-02,1.430207904922336376e-02
-2.667421553055582609e-02,1.367973577372734971e-02
-2.516680276863831472e-02,1.312326580067054056e-02
-2.295829245903400692e-02,1.258884575519897929e-02
-2.012931854513797664e-02,1.211152025505707851e-02
-1.916424986830041546e-02,1.164774219436198049e-02
-1.763165736248578294e-02,1.123888198113246438e-02
-1.616270202295549616e-02,1.087246851618884312e-02
-1.450971970791265289e-02,1.050026988522726086e-02
-1.352420795702309261e-02,1.015800394513261158e-02
-1.271890838047990378e-02,9.835401397011079086e-03
-1.164288838366384950e-02,9.547800805564740298e-03
-1.108212361555207734e-02,9.265750659627772223e-03
-1.023382192573716112e-02,8.992267783737536643e-03
-9.725772754448096594e-03,8.739751108381800526e-03
1.015323049719408033e+01,9.817472923219957570e-01
8.631325844636530409e-01,2.945241876965990269e+00
3.449679998215903876e+00,2.658898916705407345e+00
3.048504511540646789e+01,4.361223548584252097e-01
3.158874996511717725e+01,2.168081630180770103e-01
9.367513595466490983e+00,1.285620697734073392e-01
2.477641321742356961e+00,9.557786005427235110e-02
6.081356465001356293e-01,7.499299978808665612e-02
