MAS,Ref
1.673627806102170185e-02,1.396297634937296826e-02
1.178011130596913134e-02,1.336917563444683238e-02
8.299735317497732023e-03,1.281783948529970768e-02
7.365599250925562030e-03,1.232966847469414359e-02
4.989928963939107599e-03,1.186644292609381410e-02
6.296275361834220187e-03,1.141587452274206091e-02
3.212287941450908419e-03,1.100426595930621872e-02
3.297251122058315886e-03,1.063542861936842346e-02
1.707179887027383261e-03,1.029483289527793194e-02
1.888777725214535247e-03,9.975806984615816220e-03
1.730507812163513794e-03,9.664488940798989652e-03
7.845375255384094216e-04,9.374541913272008489e-03
7.931989310795205077e-04,9.111477973569958796e-03
7.859013019190215586e-04,8.843018009046197184e-03
-1.160191166430765469e-04,8.604939193701645686e-03
1.925516304232578204e-04,8.374840367356068890e-03
-1.937365513127381814e-04,8.158120539409509722e-03
-1.678154250168149061e-04,7.953001180650088112e-03
6.628757717758106960e-01,inf
nan,nan
1.732734883583706864e+00,1.580373690079310556e-01
2.096734872789702830e+00,9.675465118158921296e-02
2.180392013936689466e+00,7.386316940019280186e-02
1.459244631625106869e+00,5.724280064521222733e-02
9.133649609467876518e-01,4.972899416485965923e-02
4.257936181529727859e-01,4.242965177536750510e-02
1.929931800335799863e-01,3.758733849113778114e-02
4.197062940669303577e-02,3.316741783896300783e-02
4.126373863131144702e-03,3.003447798703794830e-02
-6.663319997309681553e-02,2.755101951148026737e-02
-6.979601846998226278e-02,2.524864828331595257e-02
-9.093847761780596284e-02,2.338498659374349531e-02
-8.437414895408211490e-02,2.165505551478439511e-02
-8.513273187103037598e-02,2.034611957327025350e-02
-7.743322349220452261e-02,1.909489592587792703e-02
-7.810161729735522196e-02,1.800344736913944352e-02
-7.009456682991349608e-02,1.699393691494275466e-02
-6.685042445023749169e-02,1.615434812867267214e-02
-6.194573900245477910e-02,1.532472068397993693e-02
-5.656094688144705507e-02,1.459456109169923917e-02
-5.383569210707734448e-02,1.395437563244414196e-02
-4.861910110095464532e-02,1.336059682885125909e-02
-4.697998436289525098e-02,1.283609639958034968e-02
-4.293911106185192839e-02,1.232183773322644872e-02
-4.094292597820227420e-02,1.186409390821525738e-02
-3.648031709829924890e-02,1.144171042605336523e-02
-3.596504881627791972e-02,1.104584694227794296e-02
-3.283914204109498330e-02,1.065800358735667815e-02
-3.126297316136587151e-02,1.030903391233842746e-02
-2.929409434732168499e-02,9.965454757047445891e-03
-2.678544920404413859e-02,9.663532021303858702e-03
-2.613069076530772153e-02,9.378683003078204863e-03
-2.401472757691728438e-02,9.105767264823125956e-03
-2.336313956275960085e-02,8.848863259453554342e-03
-2.138946555806563871e-02,8.609230491405420529e-03
-2.102423075695276575e-02,8.383547259389044840e-03
-1.914358212264408166e-02,8.169232516560041499e-03
-1.896819540229132198e-02,7.958661083202894782e-03
9.599770461147569822e-01,inf
2.275862029378545870e+00,2.658898916705408899e-01
1.281799944458484442e+00,1.419118704183435498e-01
2.445088264524318600e+00,8.977044059445025981e-02
2.487610194123015095e+00,7.289635681843240067e-02
8.975170211307126333e-01,5.812456535516129230e-02
6.830513798810969490e-03,4.938549195417827470e-02
-3.207590115279481124e-01,4.201589888024256925e-02
-4.445083599904784966e-01,3.752495006015499346e-02
-4.066422720977561633e-01,3.338279625395383643e-02
-3.932446791735760838e-01,3.006192390938405845e-02
-3.380549381571791856e-01,2.745288993448831080e-02
-3.109398205469666721e-01,2.525751456859493330e-02
-2.643224993934392142e-01,2.347123802094137901e-02
-2.322058475467855820e-01,2.169002985577305614e-02
-2.060497659842011609e-01,2.032057077068303089e-02
-1.819208739524642848e-01,1.904324593103742455e-02
-1.630031556216469391e-01,1.799605707066923369e-02
-1.439017348549846420e-01,1.701527470958619573e-02
-1.293797710187492844e-01,1.614801833256243602e-02
-1.153632974171009268e-01,1.530649678259507311e-02
-1.050108835198291096e-01,1.459570446318503474e-02
-9.456700428237486966e-02,1.397117399136674036e-02
-8.622945515874641531e-02,1.336433521681115212e-02
-7.848226572078348395e-02,1.282721967592422886e-02
-7.229925336628385824e-02,1.232361625269886088e-02
-6.615102628522571970e-02,1.187596506641334926e-02
-6.120416521696042667e-02,1.144474833154360272e-02
-5.630401794791436987e-02,1.104125173325169393e-02
-5.200055413663933618e-02,1.064782745774245712e-02
-4.860520793581666471e-02,1.030773019898212350e-02
-4.487793442071156408e-02,9.970253039415372109e-03
-4.209617108544665143e-02,9.662871619204914733e-03
-3.911926711455539218e-02,9.373575687277204208e-03
-3.691398463051710072e-02,9.105670213055763740e-03
-3.442290359075837053e-02,8.853028224055417214e-03
-3.251964956538640900e-02,8.609546787742993271e-03
-3.047073614862089511e-02,8.380543620281085890e-03
-2.894585615588122010e-02,8.169361930588819529e-03
-2.717819724000684195e-02,7.962208696100953054e-03
6.628757717758128054e-01,inf
1.315845713372095327e+00,2.265570674589223177e-01
9.043487901635606230e-01,1.193866899599712178e-01
3.121871304818613080e+00,9.193689925458783940e-02
2.019173155143919374e+00,7.078591687486646133e-02
-8.815857029195951489e-01,5.794424223868264306e-02
-1.179138104164322076e+00,4.713939248980428959e-02
-1.080363807835740264e+00,4.118230492382528307e-02
-8.484720976058921504e-01,3.661240518314325121e-02
-6.949423995073079618e-01,3.312770882507934389e-02
-5.567191246828959716e-01,3.006764198805743707e-02
-4.487078453925916754e-01,2.734790410577602957e-02
-3.728562937705208191e-01,2.529145951709853291e-02
-3.023238193100643012e-01,2.317408427370953872e-02
-2.583662596083631802e-01,2.161254051883703189e-02
-2.181644662122485812e-01,2.020452959702323872e-02
-1.884407771666949949e-01,1.900388146301727407e-02
-1.639489071174125012e-01,1.795822290114778078e-02
-1.419445223621810526e-01,1.697867396668755260e-02
-1.262858823967209221e-01,1.611494937965307628e-02
-1.106939239540187109e-01,1.530478296244541098e-02
-9.929031076977916370e-02,1.462691652236264468e-02
-8.798146185324044743e-02,1.396297634937294398e-02
-8.014404324867994978e-02,1.336917563444681503e-02
-7.295547593269997855e-02,1.281783948529969727e-02
-6.599171535919877429e-02,1.232966847469412972e-02
-6.057185765751147560e-02,1.186644292609381236e-02
-5.422468457227212074e-02,1.141587452274205571e-02
-5.041729735124462347e-02,1.100426595930621351e-02
-4.622562560570624840e-02,1.063542861936840091e-02
-4.300864881756545632e-02,1.029483289527792500e-02
-3.968022769991520066e-02,9.975806984615811016e-03
-3.659669794059985243e-02,9.664488940798977509e-03
-3.432250621556618558e-02,9.374541913271994611e-03
-3.189567320036696546e-02,9.111477973569951858e-03
-2.960427922757579572e-02,8.843018009046179836e-03
-2.806882581178183830e-02,8.604939193701640482e-03
-2.610343995215411508e-02,8.374840367356065421e-03
-2.467386425437718966e-02,8.158120539409506253e-03
-2.315199477556977026e-02,7.953001180650082907e-03
4.800277929490702755e-01,inf
3.392624118077122719e-01,2.208931407724491758e-01
-1.715546124740637002e-01,1.336894061862489436e-01
3.084374121486570530e+00,8.914712941091131049e-02
-1.105653004493897917e+00,6.796721749124408352e-02
-3.263623341988756810e+00,5.810032699630331837e-02
-1.957217011957660624e+00,4.845524426706451782e-02
-1.160803973480209139e+00,4.213679012450496919e-02
-7.370890930190379109e-01,3.672720423574173110e-02
-5.179398667774636200e-01,3.275915044913863677e-02
-3.869516210174519522e-01,3.020753599830050887e-02
-2.815504790408382418e-01,2.742607874063171525e-02
-2.149234013777309438e-01,2.507836419979198733e-02
-1.736270042304824679e-01,2.318815547301848051e-02
-1.427870971163884561e-01,2.169486763848259281e-02
-1.221309895928704981e-01,2.034194290004720518e-02
-9.461117424805300102e-02,1.900398037299965912e-02
-8.235014675170380938e-02,1.790767381837354150e-02
-6.908504427044619145e-02,1.696479658052189171e-02
-5.916061396987031679e-02,1.610899864804743106e-02
-5.434229879782728062e-02,1.532003951166618048e-02
-4.526686557561001439e-02,1.462469340777423389e-02
-4.151788994910723257e-02,1.399316246606700440e-02
-3.818683960484976769e-02,1.338555826273709823e-02
-3.292664984601346989e-02,1.284637692676680702e-02
-3.074208807945777444e-02,1.232150737297587999e-02
-2.681397311034209446e-02,1.185104432522003301e-02
-2.527829471808580933e-02,1.143204896007878404e-02
-2.304861896499795643e-02,1.102191750355678741e-02
-2.020417379587325507e-02,1.065040756874918726e-02
-1.922491310727909158e-02,1.028993077800496869e-02
-1.768235233829306211e-02,9.968274194009876799e-03
-1.620530241796278373e-02,9.678339222533562103e-03
-1.454554229811325962e-02,9.379676099768259612e-03
