MAS,Ref
-1.184139583333333329e-01,1.535314286204669983e-02
-1.559855555555555717e-01,1.425858713688126639e-02
-1.715268055555555504e-01,1.313488595558935483e-02
-1.691696527777778181e-01,1.202890165132494867e-02
-1.551593750000000160e-01,1.097296081854091943e-02
-1.353171527777777550e-01,9.986706216815894807e-03
-1.139115277777777713e-01,9.079919787492365252e-03
-9.354513888888886519e-02,8.255378334803574469e-03
-7.551194444444445097e-02,7.511275885722422038e-03
-6.024673611111113630e-02,6.843072147589385548e-03
-4.769611111111110580e-02,6.244800599654337474e-03
-3.757284722222221929e-02,5.709938542749519279e-03
-2.950857638888888107e-02,5.231952071048961636e-03
-2.313399999999999138e-02,4.804614046379895170e-03
-1.811832638888888347e-02,4.422170949645662028e-03
-1.451735833333333073e-02,4.111390977030084798e-03
-4.438701388888889598e-03,4.252906854343731051e-03
-5.824000000000001051e-03,4.626774638334407198e-03
-7.581388888888888379e-03,5.047107867544409904e-03
-9.802868055555554253e-03,5.520797271978266328e-03
-1.259559027777777673e-02,6.055715914333389960e-03
-1.607708333333333212e-02,6.660750947255219580e-03
-2.036175694444444795e-02,7.345746724055073062e-03
-2.553184027777778003e-02,8.121288330025563246e-03
-3.158104166666665658e-02,8.998215659056200619e-03
-3.831388888888889038e-02,9.986706216815900011e-03
-4.517951388888888364e-02,1.109470490756741222e-02
-5.102965277777778835e-02,1.232543112132720477e-02
-5.381548611111110214e-02,1.367370748222369002e-02
-5.034631944444444701e-02,1.512102891167485877e-02
-3.640922916666666093e-02,1.662977461072073088e-02
-7.798034722222221826e-03,1.813789765105972354e-02
3.715781944444444818e-02,1.955673133278202497e-02
9.371555555555556583e-02,2.077558829775885685e-02
1.476128472222222321e-01,2.167620916554762259e-02
1.769334722222222489e-01,2.215644406088113777e-02
1.617498611111110873e-01,2.215644406088113430e-02
9.732569444444444384e-02,2.167620916554761912e-02
3.689166666666537692e-05,2.077558829775886379e-02
-1.007402083333333448e-01,1.955673133278202150e-02
-1.785606944444444455e-01,1.813789765105972354e-02
-2.209820833333333290e-01,1.662977461072073088e-02
-2.299099305555555306e-01,1.512102891167485877e-02
-2.151627777777778139e-01,1.367370748222369002e-02
-1.877715972222222252e-01,1.232543112132720824e-02
-1.563040277777777431e-01,1.109470490756741222e-02
-1.260112499999999913e-01,9.986706216815900011e-03
-9.943361111111109762e-02,8.998215659056202353e-03
-7.736444444444445789e-02,8.121288330025564980e-03
-5.965534722222221725e-02,7.345746724055072195e-03
-4.574749999999999650e-02,6.660750947255219580e-03
-3.496909722222222433e-02,6.055715914333389092e-03
-2.668096527777777394e-02,5.520797271978266328e-03
-2.033454166666666743e-02,5.047107867544410771e-03
-1.548304166666666926e-02,4.626774638334406331e-03
