Stress,Ref
3.269173611111111932e-02,7.345734656041923508e-03
3.175958333333334105e-02,7.355644993646151195e-03
2.751243749999999696e-02,7.355644993646151195e-03
2.010902777777777775e-02,7.345734656041923508e-03
1.021283333333333418e-02,7.292168743077646204e-03
-1.129829861111110965e-03,7.187346830417881000e-03
-1.270701388888889095e-02,7.035644985288881485e-03
-2.338172222222221694e-02,6.843064610021024410e-03
-3.228418055555556249e-02,6.616674061173371396e-03
-3.890902777777778543e-02,6.364023035316474473e-03
-4.311618055555554996e-02,6.092609289931723293e-03
-4.505944444444445057e-02,5.809452117488901959e-03
-4.508354166666667801e-02,5.520797271978264593e-03
-4.362055555555555825e-02,5.231952071048961636e-03
-4.110958333333333825e-02,4.947231743197310835e-03
-3.794388888888890199e-02,4.669989553750863998e-03
-3.444645833333333240e-02,4.402702105045729584e-03
-3.086166666666666572e-02,4.147084763491207422e-03
-2.736170138888889200e-02,3.904217869254828898e-03
-2.405871527777777089e-02,3.674670383201619848e-03
-2.101774305555555167e-02,3.458612858844669225e-03
-1.852455000000000421e-02,3.275353026430347873e-03
-6.728694444444445130e-03,3.434853159664375769e-03
-7.608701388888888806e-03,3.661216590207741744e-03
-8.530534722222220603e-03,3.904217869254829765e-03
-9.460409722222222484e-03,4.164354743044975694e-03
-1.034522222222222093e-02,4.441814194694332363e-03
-1.110636805555555509e-02,4.736345836246619138e-03
-1.163332638888889096e-02,5.047108985270822197e-03
-1.177819444444444183e-02,5.372495834734905031e-03
-1.135336111111111095e-02,5.709938542749516677e-03
-1.013638194444444612e-02,6.055715914333389092e-03
-7.886534722222220128e-03,6.404785458318271001e-03
-4.379747222222223069e-03,6.750677818706857583e-03
5.341220138888888927e-04,7.085500225181048939e-03
6.851320138888888391e-03,7.400099249344369197e-03
1.432226388888888438e-02,7.684425150048357356e-03
2.237218055555555488e-02,7.928115451992311102e-03
3.007437499999999000e-02,8.121273000743139958e-03
3.622090277777777895e-02,8.255359796999279381e-03
3.951451388888888722e-02,8.324077354974604437e-03
3.886284722222222571e-02,8.336806327031823921e-03
3.369881944444444444e-02,8.336806327031823921e-03
