lat,lon,mag,depth
2.307499999999999929e+01,1.211460000000000008e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.365599999999999881e+01,1.210279999999999916e+02,3.799999999999999822e+00,2.089999999999999858e+01
2.395300000000000296e+01,1.215129999999999910e+02,4.000000000000000000e+00,3.300000000000000000e+01
2.360800000000000054e+01,1.209770000000000039e+02,4.500000000000000000e+00,4.870000000000000284e+01
2.353900000000000148e+01,1.203310000000000031e+02,3.799999999999999822e+00,6.450000000000000000e+01
2.333599999999999852e+01,1.203499999999999943e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.409900000000000020e+01,1.211279999999999859e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.382499999999999929e+01,1.214389999999999930e+02,3.899999999999999911e+00,4.539999999999999858e+01
2.390199999999999747e+01,1.214189999999999969e+02,4.000000000000000000e+00,3.169999999999999929e+01
2.415399999999999991e+01,1.210150000000000006e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.354199999999999804e+01,1.209159999999999968e+02,4.200000000000000178e+00,4.920000000000000284e+01
2.384800000000000253e+01,1.213420000000000130e+02,4.400000000000000355e+00,5.000000000000000000e+00
2.435699999999999932e+01,1.207929999999999922e+02,3.799999999999999822e+00,1.550000000000000000e+01
2.373999999999999844e+01,1.213079999999999927e+02,4.400000000000000355e+00,6.299999999999999822e+00
2.402199999999999847e+01,1.210000000000000000e+02,5.200000000000000178e+00,1.900000000000000000e+01
2.392999999999999972e+01,1.213260000000000076e+02,3.799999999999999822e+00,3.300000000000000000e+01
2.373699999999999832e+01,1.209200000000000017e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.358900000000000219e+01,1.208889999999999958e+02,3.600000000000000089e+00,4.729999999999999716e+01
2.356400000000000006e+01,1.207549999999999955e+02,4.000000000000000000e+00,4.110000000000000142e+01
2.378900000000000148e+01,1.214560000000000031e+02,4.599999999999999645e+00,2.299999999999999822e+00
2.498000000000000043e+01,1.199800000000000040e+02,3.700000000000000178e+00,8.000000000000000000e+00
2.376900000000000190e+01,1.211539999999999964e+02,6.400000000000000355e+00,4.189999999999999858e+01
2.363100000000000023e+01,1.211379999999999910e+02,4.200000000000000178e+00,5.679999999999999716e+01
2.404300000000000281e+01,1.215110000000000099e+02,4.099999999999999645e+00,6.770000000000000284e+01
2.369599999999999795e+01,1.210989999999999895e+02,5.799999999999999822e+00,4.029999999999999716e+01
2.372500000000000142e+01,1.209609999999999985e+02,4.000000000000000000e+00,4.189999999999999858e+01
2.427100000000000080e+01,1.214189999999999969e+02,3.700000000000000178e+00,1.830000000000000071e+01
2.379500000000000171e+01,1.214489999999999981e+02,4.799999999999999822e+00,5.000000000000000000e+00
2.353900000000000148e+01,1.208250000000000028e+02,4.099999999999999645e+00,2.969999999999999929e+01
2.375900000000000034e+01,1.212150000000000034e+02,3.899999999999999911e+00,5.089999999999999858e+01
2.351900000000000190e+01,1.208010000000000019e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.358599999999999852e+01,1.209370000000000118e+02,4.099999999999999645e+00,1.010000000000000000e+02
2.424699999999999989e+01,1.210279999999999916e+02,3.899999999999999911e+00,5.000000000000000000e+00
